"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 11:29:32 GMT 2022","Mon Jul 18 11:29:32 GMT 2022","534","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Mon Jul 18 11:29:32 GMT 2022","Mon Jul 18 11:29:33 GMT 2022","702","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Mon Jul 18 11:29:39 GMT 2022","Mon Jul 18 11:29:39 GMT 2022","493","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Mon Jul 18 11:29:41 GMT 2022","Mon Jul 18 11:29:42 GMT 2022","585","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Mon Jul 18 11:29:31 GMT 2022","Mon Jul 18 11:29:31 GMT 2022","384","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Mon Jul 18 11:29:31 GMT 2022","Mon Jul 18 11:29:31 GMT 2022","499","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Mon Jul 18 11:29:38 GMT 2022","Mon Jul 18 11:29:39 GMT 2022","484","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Mon Jul 18 11:29:34 GMT 2022","Mon Jul 18 11:29:35 GMT 2022","625","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Mon Jul 18 11:29:29 GMT 2022","Mon Jul 18 11:29:30 GMT 2022","796","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Mon Jul 18 11:29:37 GMT 2022","Mon Jul 18 11:29:37 GMT 2022","470","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Mon Jul 18 11:29:37 GMT 2022","Mon Jul 18 11:29:38 GMT 2022","393","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Mon Jul 18 11:29:42 GMT 2022","Mon Jul 18 11:29:43 GMT 2022","512","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Mon Jul 18 11:29:36 GMT 2022","Mon Jul 18 11:29:36 GMT 2022","531","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Mon Jul 18 11:29:31 GMT 2022","Mon Jul 18 11:29:32 GMT 2022","497","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Mon Jul 18 11:29:39 GMT 2022","Mon Jul 18 11:29:40 GMT 2022","485","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Mon Jul 18 11:29:41 GMT 2022","Mon Jul 18 11:29:41 GMT 2022","494","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Mon Jul 18 11:29:38 GMT 2022","Mon Jul 18 11:29:38 GMT 2022","568","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Mon Jul 18 11:29:40 GMT 2022","Mon Jul 18 11:29:40 GMT 2022","514","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Mon Jul 18 11:29:35 GMT 2022","Mon Jul 18 11:29:35 GMT 2022","482","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Mon Jul 18 11:29:30 GMT 2022","Mon Jul 18 11:29:31 GMT 2022","408","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Mon Jul 18 11:29:34 GMT 2022","Mon Jul 18 11:29:34 GMT 2022","535","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Mon Jul 18 11:29:36 GMT 2022","Mon Jul 18 11:29:37 GMT 2022","563","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Mon Jul 18 11:29:33 GMT 2022","Mon Jul 18 11:29:34 GMT 2022","511","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Mon Jul 18 11:29:35 GMT 2022","Mon Jul 18 11:29:36 GMT 2022","503","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Mon Jul 18 11:29:40 GMT 2022","Mon Jul 18 11:29:41 GMT 2022","620","chromium","example.spec.ts","Routing","","","should respect the back button",""
